None,region_id,region_type,region,zip,state,city,county,community
1202,98375,zip,95684; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Somerset,95684,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Somerset
1203,98374,zip,95683; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Sloughhouse,95683,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Sloughhouse
1204,98373,zip,95682; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Shingle Springs,95682,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Shingle Springs
1205,98372,zip,95681; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Sheridan,95681,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Sheridan
1206,98371,zip,95680; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Walnut Grove,95680,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Walnut Grove
1207,98370,zip,95679; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Brooks,95679,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Brooks
1211,98367,zip,95676; CA; Yuba City; Sutter County; Robbins,95676,CA,Yuba City,Sutter County,Robbins
1212,98366,zip,95675; CA; Amador County; River Pines,95675,CA,Amador County,River Pines,
1213,98365,zip,95674; CA; Yuba City; Sutter County; Rio Oso,95674,CA,Yuba City,Sutter County,Rio Oso
1214,98364,zip,95673; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Rio Linda,95673,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Rio Linda
1215,98363,zip,95672; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Rescue,95672,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Rescue
1217,98360,zip,95669; CA; Amador County; Plymouth,95669,CA,Amador County,Plymouth,
1219,98359,zip,95668; CA; Yuba City; Sutter County; Pleasant Grove,95668,CA,Yuba City,Sutter County,Pleasant Grove
1220,98358,zip,95667; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Placerville,95667,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Placerville
